,Solubility (M/L),SMILES
955,-1.01,Oc1cccc(N(=O)=O)c1
956,-1.04,CCC(C)(C)CO
957,-1.06,ClCCCl
958,-1.06,CC(CC(C)=CC1=O)(C1)C
959,-1.06,Oc1ccccc1Cl
960,-1.06,CCCCCC(O)=O
961,-1.1,CCCCCCN
962,-1.11,CC(CO)CCC
963,-1.12,ClCCOCCCl
964,-1.15,OC(CC)C(C)(C)C
965,-1.16,O=C(c1cc(O)c(O)c(O)c1)O
966,-1.17,C(Br)(Br)
967,-1.2,Cc1cc(O)c(cccc2)c2n1
968,-1.21,Nc1ccc(C)cc1
969,-1.23,Oc1ncnc2c1ncn2C3C(O)C(O)C(CO)O3
970,-1.24,O=C(c(cc1O)cc(O)c1O)OC
971,-1.26,OCCn1c(N(=O)=O)cnc1C
972,-1.26,O=C(NC(C)=C1)NC1=O
973,-1.28,Cc1cc(N)nc(C)n1
974,-1.28,CNc1ccccc1
975,-1.3,CCCC(CCC)=O
976,-1.3,ClC=CCl
977,-1.31,Cc1c(O)c(C)ccc1
978,-1.32,BrC=CBr
979,-1.34,CCCOC(C)C
980,-1.35,CNC(NCCSCc1c(C)[nH]cn1)=NC#N
981,-1.36,C=CCCl
982,-1.36,Nc1ccc(cc1)S(N)(=O)=O
983,-1.39,O=C(O2)c1ccccc1C2=O
984,-1.41,Cc(cc(O)cc1)c1C
985,-1.41,CC(Cl)C
986,-1.41,Oc1ccc(C(O)=O)cc1
987,-1.42,CC1(C)C(C(O)=O)CCC1(C)C(O)=O
988,-1.42,CN(C2C1CC5C(C(c4c(C5(O)C)cccc4O)=O)=C(C1(C(C(C(NCN3CCCC3)=O)=C2O)=O)O)O)C
989,-1.42,CC(CC(C)C)=O
990,-1.45,O=C(C1CCCCC1)O
991,-1.46,S=C(NCC)NCC
992,-1.47,NC(OCCCCC)=O
993,-1.47,FC(F)(c1cc(N)ccc1)F
994,-1.47,CCC(O)CCCC
995,-1.48,O=C(NC=C1)NC1=O
996,-1.5,C=CCBr
997,-1.5,c12ccccc1scn2
998,-1.5,CCCC1NCCCC1
999,-1.52,Clc(cccc1)c1N
1000,-1.52,O=C1C(C)=CNC(N1)=O
1001,-1.54,BrC(Cl)Cl
1002,-1.56,NS(=O)(c1ccccc1)=O
1003,-1.59,CC(Br)C
1004,-1.6,NC(NC(C(N1)=O)NC1=O)=O
1005,-1.6,CCI
1006,-1.6,CCC(C)(O)CCCC
1007,-1.6,OC(C(N)Cc1ccc(O)c(O)c1)=O
1008,-1.61,CC(c1ccc(N)cc1)=O
1009,-1.63,CC(CC(C(C)(C)C)=O)=O
1010,-1.64,C#CCCC
1011,-1.66,O=C(OC)NS(c1ccc(N)cc1)(=O)=O
1012,-1.66,O=C(OC)c1ccccc1C(OC)=O
1013,-1.68,O=C(c1ccccc1)NCC(O)=O
1014,-1.71,NCC(CC)CCCC
1015,-1.83,O=C(NCC)C(OC(Nc1ccccc1)=O)C
1016,-1.84,C12OC(C(Cl)(Cl)Cl)OC1(C(C(O2)C(O)(CO))O)
1017,-1.85,CCCCCCCN
1018,-1.85,O=C(OC)c1ccccc1
1019,-1.85,CC(CC2C1(C)C)(CC2)C1=O
1020,-1.85,ClCCCBr
1021,-1.87,C=CC=C
1022,-1.89,O=C2C=Cc1ccccc1O2
1023,-1.89,O=C(c(cccc1)c1Cl)O
1024,-1.91,O=N(c(cccc1)c1NC(C)=O)=O
1025,-1.92,ClC(CCl)CCl
1026,-1.92,Nc2cccc1ccccc12
1027,-1.94,Cc2nc1ccccc1c(C)c2
1028,-1.95,Nc1ncnc2c1ccn2C3OC(CO)C(C3O)O
1029,-1.96,Cc2nc1ccccc1[nH]2
1030,-1.96,COc(cccc1)c1O
1031,-1.96,C(Cl)=C(Cl)Cl
1032,-1.97,Fc1ccc(F)cc1
1033,-1.99,CC(C)=CCCC(C)(O)C=C
1034,-1.99,O=S(NC(N)=N)(c(cc1)ccc1N)=O
1035,-1.99,O=C(CC(CC2)C1(C)C)C12C
1036,-2.0,CCCCCC(OC)=O
1037,-2.0,CC(CCl)C
1038,-2.0,Fc1cc(F)ccc1
1039,-2.03,C=C(C=C)C
1040,-2.05,Oc1c(OC)cc(C(O)=O)cc1
1041,-2.06,CC(C)=CCCC(C)=CC=O
1042,-2.06,O=C(N1)NC(C(CC=C)(CC=C)C1=O)=O
1043,-2.07,Cc1cccc3c1n2cnnc2S3
1044,-2.08,BrCCCBr
1045,-2.08,CNC(ON=C1C2C(C#N)CC(C2)C1Cl)=O
1046,-2.09,CCSCc1ccccc1OC(NC)=O
1047,-2.1,Nc1ncc(Cc2cc(OC)c(OCCOC)c(OC)c2)c(N)n1
1048,-2.1,C1=CCCC1
1049,-2.11,OC(C(CO)NC(C(Cl)Cl)=O)c1ccc(N(=O)=O)cc1
1050,-2.15,S=C(NC(CCC)=C1)NC1=O
1051,-2.15,CC(Br)CBr
1052,-2.16,c1(cccc2)c2[nH]nc1
1053,-2.18,O=C1CC(C(C)=C)CCC1C
1054,-2.18,CCCCS
1055,-2.21,Clc(cc(Cl)c(O)c1)c1Cl
1056,-1.99,OC1(C2(C(NC(NC2=O)=O)=O)O)C(NC(NC1=O)=O)=O
1057,-2.23,CN1C2CCC1C(C(OC)=O)C(OC(c3ccccc3)=O)C2
1058,-2.27,O=C(c1ccccc1)NC(c2ccccc2)=O
1059,-2.27,Cc1cc(C)nc(NS(=O)(c2ccc(N)cc2)=O)n1
1060,-2.28,CCCN(CCC)CCC
1061,-2.28,O=C(c1c(c(cccc2)c2C(O)=O)cccc1)O
1062,-2.29,O=C(O)COc1ccc(Cl)cc1
1063,-2.29,c12c(nc[nH]2)N=CNC1=O
1064,-2.3,BrC1CCCCC1
1065,-2.3,Nc2ccc(cc2)Cc1ccc(N)cc1
1066,-2.31,CCCCCC(OCC)=O
1067,-2.33,O=N(c(cccc1)c1C)=O
1068,-2.33,CCOc1ccccc1
1069,-2.34,CNC(Oc1cc(N=CN(C)C)ccc1)=O
1070,-2.36,CNC(Oc1ccc(c(C)c1)N(C)C)=O
1071,-2.36,CC(Nc1nnc(S(N)(=O)=O)s1)=O
1072,-2.37,Nc1ccc(N(=O)=O)cc1
1073,-2.38,Fc1c(F)cc(F)c(F)c1
1074,-2.39,Cc1cscc1
1075,-2.39,CCCCCCCCO
1076,-2.4,COc2c1occc1c(c3c2OC(C)=CC3=O)OC
1077,-2.41,CC(C)(c1ccc(O)cc1)C
1078,-2.42,Oc1c(nccc2)c2ccc1
1079,-2.46,CC(OCCCCCC)=O
1080,-2.49,CC1CCC(C(C)C)C(C1)=O
1081,-2.49,Cc1ccc(N(=O)=O)cc1
1082,-2.51,CC(C)(Cl)CC
1083,-2.52,OC(c2ccccc2)Cc1ccccc1
1084,-2.53,CC(C(CCC(C)C1)C1O)C
1085,-2.54,ClC(Cl)=C(Cl)Cl
1086,-2.55,Brc1ccccc1
1087,-2.55,OC(c2ccccc2)c1ccccc1
1088,-2.57,O=C(N(OC)C)Nc1ccc(Cl)cc1
1089,-2.57,NC(CC)Cc2c[nH]c1ccccc12
1090,-2.57,NC(Cc1ccc(O)cc1)C(O)=O
1091,-2.59,Oc1c(ccc(O)c1)CCCCCC
1092,-2.59,CCCCC(CCCC)=O
1093,-2.6,CC(C(N(Cl)C1=O)=O)(N1Cl)C
1094,-2.6,Cc1ccc(C(O)=O)cc1
1095,-2.61,O=C2NC(c1ccccc12)=O
1096,-2.63,OC(C(CC3CC4)N4CC3CC)c1ccnc2c1cccc2
1097,-2.63,ClC(CC)CC
1098,-2.64,O=C(N1)NC(C(CC)(C3=CC2CCC(C3)C2)C1=O)=O
1099,-2.64,O=C(NCN1)C(c2ccccc2)(CC)C1=O
1100,-2.67,O=C(c1ccccc1)OCCC
1101,-2.68,ClC(Cl)C(N2)Nc1cc(Cl)c(S(N)(=O)=O)cc1S2(=O)=O
1102,-2.68,BrC(CC)(CC)C(NC(N)=O)=O
1103,-2.7,OC(C1)(COc3c2ccc(O)c3O)C2=C(C=C4O)C1=CC4=O
1104,-2.7,O=S(Nc1ccccn1)(c2ccc(N)cc2)=O
1105,-2.71,S=C1C=Nc(cncn2)c2N1
1106,-2.75,CCCCCCCCN
1107,-2.77,CCc1ccccc1
1108,-2.77,Cc1ccc(C)cc1
1109,-2.78,O=C2c3c(ccc(O)c3O)C(c1ccccc12)=O
1110,-2.78,Ic1ccccc1
1111,-2.8,OC(c1ccc(N(=O)=O)cc1)=O
1112,-2.82,Cc1cnc(NS(=O)(c2ccc(cc2)N)=O)nc1
1113,-2.82,CC(c2ccc(O)cc2)(C)c1ccc(O)cc1
1114,-2.82,C=Cc1ccccc1
1115,-2.85,OC(c2ccccc2)C(c1ccccc1)=O
1116,-2.86,Clc(cc1C)ccc1N=CN(C)C
1117,-2.88,CNc(cccc1)c1C(O)=O
1118,-2.92,c1(NNc2ccccc2)ccccc1
1119,-2.96,O=C(O)COc(cc(Cl)c(Cl)c1)c1Cl
1120,-2.97,O=C1CCC2(C)C(CCC3C2C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1
1121,-2.98,CCN1C=C(C(c2c1nc(N3CCNCC3)nc2)=O)C(O)=O
1122,-2.99,O=C1C=CC2(C)C(C(C)CC3C2C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1
1123,-3.03,O=S(NC(NCCC)=O)(c1ccc(Cl)cc1)=O
1124,-3.03,O=C(C(C)=C1)c(cccc2)c2C1=O
1125,-3.04,ClC(F)(F)C(Cl)(Cl)F
1126,-3.04,Clc1cc(Cl)ccc1
1127,-3.04,c1(cccc2)c2CCC1
1128,-3.08,CC(Nc1ccc(Br)cc1)=O
1129,-3.08,Cc1ccc(Cl)cc1
1130,-3.08,O=C(O)Cc(c(Cl)ccc1Cl)c1Cl
1131,-3.1,C1CCCCC1
1132,-3.12,O=C(c2ccccc2)c1ccccc1
1133,-3.12,O=C1N(c2ccccc2)N=CC(N)=C1Br
1134,-3.16,O=C(c(cccc1)c1O)OCCC(C)C
1135,-3.17,CCCCCCCCC=O
1136,-3.19,Brc1ccc(C)cc1
1137,-3.19,Brc(cccc1)c1Cl
1138,-3.21,CC(CC=CC=CC=CC=CC(OC4OC(C)C(O)C(N)C4O)CC(C(C(O)=O)C(O)C3)OC3(O)CC(O)CC(O2)C2C=C1)OC1=O
1139,-3.21,O=C1C=CC2(C)C(CCC3C2C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1
1140,-3.22,O=C(NCC2)N2c1ncc(N(=O)=O)s1
1141,-3.24,CC(C)CC=C
1142,-3.27,Clc1ccc(Cl)cc1
1143,-3.27,CC(CCC1C(N(c3ccccc3)N(c2ccccc2)C1=O)=O)=O
1144,-3.28,Oc1c(c2c(cc1)CC3(C45))OC(C24CCN3C)(C(C=C5)O)
1145,-3.29,CCC2NC(c1cc(S(N)(=O)=O)c(cc1N2)Cl)=O
1146,-3.3,CCCCCCCCOC(N)=O
1147,-3.35,O=C(SCCC)N(CCCC)CC
1148,-3.38,CC(c(cc(N(=O)=O)cc1N(=O)=O)c1O)CC
1149,-3.38,O=C(OC(C)C)Nc1cccc(Cl)c1
1150,-3.39,O=C(OCC)CCCCCCC
1151,-3.4,O=C(SCC)N(C1CCCCC1)CC
1152,-3.46,O=C(N3CCCCC3)C=CC=Cc1cc(OCO2)c2cc1
1153,-3.46,Ic1c([nH]c(I)c1I)I
1154,-3.54,Brc1cc(Br)ccc1
1155,-3.54,CC(C)c1ccc(NC(N(C)C)=O)cc1
1156,-3.55,O=C(O)CCCCCCCCCC
1157,-3.59,OC(CC1CCC2C3CC4)CCC1(C)C2C(O)CC3(C)C4=O
1158,-3.62,Oc(c(O)c3)ccc3C2CC(c1c(O)cc(O)cc1O2)=O
1159,-3.66,COc1c(OC3=O)c(C=C3)cc2c1occ2
1160,-3.66,c1ccc2OC(=O)C(C(C(=O)OCC)C3=C(O)c4ccccc4OC3=O)=C(O)c2c1
1161,-3.66,O=C(c(cc(S(N)(=O)=O)c(Cl)c2)c2NCc1ccco1)O
1162,-3.66,CC(C)(c1ccccc1)C
1163,-3.67,c12ccccc1nc3c(cccc3)c2
1164,-3.68,CC(CC)CC
1165,-3.68,O=C(SCC)N(CC(C)C)CC(C)C
1166,-3.68,S=P(OC)(OC)Oc1ccc(N(=O)=O)cc1
1167,-3.68,Nc1ccc(c3nc2ccc(C)cc2s3)cc1
1168,-3.7,CCCCOc2cc(C(NCCN(CC)CC)=O)c1ccccc1n2
1169,-3.7,Cc1c(cccc2)c2ccc1
1170,-3.74,O=S(Nc1nnc(C(C)(C)C)s1)(c2ccc(cc2)N)=O
1171,-3.75,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4C(CO)=O)=C1
1172,-3.76,Clc1nc(C(Cl)(Cl)Cl)ccc1
1173,-3.77,CC(c1ccc(C)cc1)C
1175,-3.78,Cc1c(C)c(Nc2c(C(O)=O)cccc2)ccc1
1176,-3.8,O=C2CN=C(c3ccccc3)c1cc(N(=O)=O)ccc1N2
1177,-3.8,O=C(OCC)CCCCCCCC
1178,-3.8,CC(C(CCC(C(C)C)=C3)C3=CC1)(CCC2)C1C2(C)C(O)=O
1179,-3.8,Cc1cc(S(=O)(c2ccccc2)=O)ccc1NS(=O)(C(F)(F)F)=O
1180,-3.82,CCCCC=CC
1181,-3.84,CCCCCC
1182,-3.85,C1C(=O)C=C2CCC3C4CCC(C(=O)CO)C4(C5O)CC(O5)C3C2(C)C1
1183,-3.85,CC1CCCCC1
1184,-3.88,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3
1185,-3.89,CC(CC(c1ccccc1)C(C2=O)=C(c(cccc3)c3O2)O)=O
1186,-3.9,S=C(SSC(N(C)C)=S)N(C)C
1187,-3.9,CC(N(C(Nc1ccc(Cl)cc1)=O)C)C#C
1188,-3.94,CN2c1ccccc1Sc3c2cc(CC(O)=O)cc3
1189,-3.95,OC1CCC2(C)C(CCC3C2CC(O)C4(C)C3CCC4C(C)CCC(O)=O)C1
1190,-3.96,c1(Oc2ccccc2)ccccc1
1191,-3.99,CCCCCCCCl
1192,-3.99,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4(C)O)=C1
1193,-4.0,Cc(c(C)cc(C)c1C)c1C
1194,-4.0,O=C1CCC4(C)C(CCC3C(CCC2(O)C(COC(C)=O)=O)C2(C)CC(C34)=O)=C1
1195,-4.0,Clc(c(Cl)ccc1)c1Cl
1196,-4.04,S=P(OC)(OC)Oc1cc(C)c(N(=O)=O)cc1
1197,-4.06,CCCCc1ccccc1
1198,-4.07,Brc1ccc(Br)cc1
1199,-4.1,CC(C)Nc1nc(NC(C)C)nc(SC)n1
1200,-4.11,S=P(OCC)(OCC)SCSCC
1201,-4.11,COc2ccc1C(C3N(CCc5c3cc4OCOc4c5)C)OC(c1c2OC)=O
1202,-4.13,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(OC(C)=O)C4(O)C(COC(C)=O)=O)=C1
1203,-4.15,C1CCCCCCC1
1204,-4.16,CN2S(c1ccccc1C(O)=C2C(Nc3ncccc3)=O)(=O)=O
1205,-4.17,OC(c1cccnc1Nc2cccc(C(F)(F)F)c2)=O
1206,-4.23,ClC(=C(C=C(Cl)Cl)Cl)Cl
1207,-4.26,CC(N(C)C)CN1c3c(cccc3)Sc2c1cccc2
1208,-4.28,O=C1CCC2(C)C(CC(SC(C)=O)C3C2CCC4(C)C3CCC45OC(CC5)=O)=C1
1209,-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
1211,-4.29,CCc1cc(cccc2)c2cc1
1212,-4.3,Oc1cc(CCC3C2CCC4(C)C3CCC4(C#C)O)c2cc1
1213,-4.3,CN(C)CCCN1c3c(cccc3)Sc2c1cccc2
1214,-4.31,COP(OC)(Oc1c(Cl)cc(N(=O)=O)cc1)=S
1215,-4.32,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC5C4(OC(C)(C)O5)C(CO)=O)=C1
1216,-4.38,c1(cccc3)c3sc2c1cccc2
1217,-4.38,OC(c2c(Cl)cccc2)(c3cncnc3)c1ccc(Cl)cc1
1218,-4.42,O=C(C(c(cc(OC)c(OC)c4)c4OC3)C3O2)c1c2c(CC(C(C)=C)O5)c5cc1
1219,-4.43,CCC(c1ccc(cc1)O)C(c2ccc(O)cc2)CC
1220,-4.43,O=C(CCCN2CCC(c3ccc(Cl)cc3)(O)CC2)c1ccc(F)cc1
1221,-4.43,CCCCCCCBr
1222,-4.46,CN(CCC=C2c1ccccc1CCc3c2cccc3)C
1223,-4.47,O=N(c(c(C)c1N(=O)=O)c(c(C(C)(C)C)c1)OC(C)=O)=O
1224,-4.48,Clc1cc(Cl)cc(Cl)c1
1225,-4.48,CC1(CC(C)CC1)C
1226,-4.52,FC(F)(F)c4cc1c(cc4)Sc3c(cccc3)N1CCCN2CCN(C)CC2
1227,-4.53,O=C(OC(C)C)C(c2ccc(Cl)cc2)(O)c1ccc(Cl)cc1
1228,-4.57,S=P(OC)(OC)Oc1cc(C)c(SC)cc1
1229,-4.58,CC2(C=C3)C(C(O)C1)C(CCC2=CC3=O)C(CC4)C1(C)C4(O)C(COC(C(C)(C)C)=O)=O
1230,-4.61,O=C1c(cccc2)c2N=C(c3ccccc3)O1
1231,-4.62,c1(CCc2ccccc2)ccccc1
1232,-4.63,CC(C2C(COC(C)=O)=O)(CC1)C(CC2)C(CCC3=CC4=O)C1C3(CC4)C
1233,-4.65,OC(C4)CCC1(C)C4=CCC2C1CCC3(C)C2CCC3C(C)=O
1234,-4.72,Cc1cc(cccc2)c2cc1C
1235,-4.73,Oc2c3c(cccc3)cc1ccccc12
1236,-4.79,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C
1237,-4.82,Clc1cc(Cl)c(OP(OC)(OC)=S)nc1Cl
1238,-4.84,CC34CCC2c1c(CCC2C3CCC4O)cc(O)cc1
1239,-4.88,O=C(SCC(Cl)=C(Cl)Cl)N(C(C)C)C(C)C
1240,-4.89,O=C(N(C)C)Nc1ccc(Oc2ccc(Cl)cc2)cc1
1241,-4.89,Cc2cc1ccc(C)cc1cc2
1242,-4.91,ClC(C(Cl)=C(Cl)Cl)=C(Cl)Cl
1243,-5.16,NS(c1cc(N(=O)=O)c(N(CCC)CCC)c(N(=O)=O)c1)(=O)=O
1244,-5.2,Clc1ccc(c2ccccc2)cc1
1245,-5.21,CCCCCCc1ccccc1
1246,-5.24,Oc1cc(ccc3c2CCC4(C)C3CCC4=O)c2cc1
1247,-5.24,O=C(OCc2cccc(Oc3ccccc3)c2)C1C(C=C(C)C)C1(C)C
1248,-5.26,c1(c(cccc3)c3cc2)c2cccc1
1249,-5.38,CC(c1c(O2)cc(OP(OCC)(OCC)=S)cc1)=C(C2=O)Cl
1250,-5.46,OC1C=CC2C1C3(C(Cl)=C(C2(C3(Cl)Cl)Cl)Cl)Cl
1251,-5.64,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
1252,-5.68,O=N(=O)c1cc(C(F)(F)F)cc(N(=O)=O)c1N(CCC)CCC
1253,-5.74,S=P(OCC)(OCC)SCSc1ccc(Cl)cc1
1254,-5.8,Clc1cccc(c2cc(Cl)ccc2)c1
1255,-5.89,Cc1c(cccc3)c3cc2c1cccc2
1256,-5.96,c12c3c4ccc1CCCc2ccc3CCC4
1257,-6.02,Clc1cc(c2ccccc2Cl)c(Cl)cc1
1258,-6.09,S=P(OC)(OC)Oc(cc(Cl)c(Br)c1)c1Cl
1259,-6.18,ClC1(C2C4C5C(O5)C(C4)C23)C(Cl)=C(Cl)C3(Cl)C1(Cl)Cl
1260,-6.21,Clc1ccc(c2ccc(cc2Cl)Cl)cc1
1261,-6.29,ClC(C(Cl)=C1Cl)(C2C(O4)C4C(Cl)C23)C(Cl)(Cl)C13Cl
1262,-6.29,CC1(C)C(C=C(Cl)Cl)C1C(OCc2cccc(Oc3ccccc3)c2)=O
1263,-6.29,Clc1ccc(Cl)c(c2ccccc2)c1Cl
1264,-6.32,ClC1(C(Cl)=C2Cl)C(C3Cl)C(C=C3)C2(Cl)C1(Cl)Cl
1265,-6.51,Clc(cc(Cl)cc2)c2c1ccc(Cl)cc1Cl
1266,-6.62,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c(cccc2)c2Cl
1267,-6.7,O=P(Oc1ccc(O)cc1C)(Oc2cc(O)ccc2C)Oc3c(O)cccc3C
1268,-6.81,CCCCCCCCCCCCCCCC(O)=O
1269,-6.89,ClC(Cl)(Cl)C(c2ccc(OC)cc2)c1ccc(OC)cc1
1270,-6.96,O=C(OCC(CC)CCCC)c1ccccc1C(OCC(CC)CCCC)=O
1271,-7.0,Clc(ccc(Cl)c2)c2c1cc(Cl)ccc1Cl
1272,-7.05,Clc2c(ccc(Cl)c2Cl)c1c(Cl)c(Cl)ccc1
1273,-7.16,Clc(c(Cl)c(Cl)c(Cl)c2)c2c1ccccc1
1274,-7.26,CCCCCCCCCCCCCCCCO
1275,-7.33,ClC12C3C(C4C=CC3C4)C(C2(Cl)Cl)(Cl)C(Cl)=C1Cl
1276,-7.8,c12c3c4c5c(cccc5)c1cccc2ccc3ccc4
1277,-7.91,Clc1ccc(Cl)c(c2ccc(Cl)c(Cl)c2Cl)c1
1278,-8.04,c1(cc(cccc4)c4c3)c3Cc2c1cccc2
1279,-8.06,c12c(ccc3c2ccc4c3cccc4)cccc1
1280,-8.3,Clc1c(Cl)c(Cl)ccc1c2c(Cl)c(Cl)c(Cl)cc2Cl
1281,-8.32,Clc1c(Cl)cc(Cl)c(c2ccc(Cl)c(Cl)c2Cl)c1
1282,-8.42,Clc1c(Cl)c(Cl)c(Cl)c(c2cccc(Cl)c2Cl)c1
1283,-8.49,c12c3c4c(cc(cccc5)c5c4)c1cccc2ccc3
1284,-8.6,c34cc2cc1ccccc1cc2cc3cccc4
1285,-8.65,Clc1ccc(Cl)c(c1Cl)c2c(Cl)ccc(Cl)c2Cl
1286,-8.66,c12c(cccc3)c3ccc1cc4c(ccc5c4cccc5)c2
1287,-9.03,c1(c(cc6)ccc3ccc4ccc5)c3c4c5c2c1c6ccc2
1288,-10.26,Clc1c(c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c1Cl
1289,-10.41,Clc(c(Cl)c(Cl)c(Cl)c2Cl)c2c1c(Cl)c(Cl)cc(Cl)c1Cl
1290,-7.89,Clc1cc(c2cc(Cl)c(cc2Cl)Cl)c(Cl)cc1
1291,-2.32,Nc1ccc(C(OCC)=O)cc1
1292,-1.61,O=C(C)Oc1c(C(O)=O)cccc1
1293,-1.37,O=C(N1C)c(nc[nH]2)c2N(C)C1=O
1294,0.39,CN1C(C)=CC(N1c2ccccc2)=O
1295,-3.55,CCNc1nc(NC(C)C)nc(Cl)n1
1296,-2.34,O=C(C(CC)(C2=O)c1ccccc1)NC(N2)=O
1297,-3.76,O=C(N(C)C)Nc1cc(Cl)c(Cl)cc1
1298,-3.38,O=C(N2)N(CC2=O)N=Cc1ccc(N(=O)=O)o1
1299,-3.99,O=C(NC(N3)=O)C3(c2ccccc2)c1ccccc1
1300,-3.76,O=C1CN=C(c3ccccc3)c2c(ccc(Cl)c2)N1C
1301,-4.07,CC12C(CCC3C2CCC4(C)C3CCC4O)=CC(CC1)=O
1303,-4.29,S=P(OCC)(OCC)Oc1ccc(N(=O)=O)cc1
1304,-3.76,S=P(OCC)(OCC)Oc1nc(C(C)C)nc(C)c1
1305,-2.9,Oc(cc2)ccc2C3(c(cccc4)c4C(O3)=O)c1ccc(O)cc1
1306,-3.36,O=C(OCC)C(CC(OCC)=O)SP(OC)(OC)=S
1307,-5.67,S=P(Oc1nc(Cl)c(Cl)cc1Cl)(OCC)OCC
1308,-2.47,CCCCCC(O)C=CC1C(O)CC(C1CC=CCCCC(O)=O)=O
1309,-8.08,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
1310,-6.86,ClC2(C3(Cl)Cl)C(Cl)=C(Cl)C3(Cl)C1C(Cl)C(Cl)CC12
0,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
1,-3.3,Cc1occc1C(=O)Nc2ccccc2
2,-2.06,CC(C)=CCCC(C)=CC(=O)
3,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43
4,-1.33,c1ccsc1
5,-1.5,c2ccc1scnc1c2 
6,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
7,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
8,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
9,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
11,-4.14,Clc1ccc2ccccc2c1
12,-2.68,CCCC=C
13,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2
14,-7.96,CCCCCCCCCCCCCC
15,-1.41,CC(C)Cl
16,-0.47,CCC(C)CO
18,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
19,-2.94,CCCCCCCCCC(C)O
20,-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
21,-4.5939999999999985,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
22,-4.11,CCOP(=S)(OCC)SCSCC
23,-2.35,CCOc1ccc(NC(=O)C)cc1
24,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
26,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O
27,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
28,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
29,-3.17,CCCCCCCC(=O)OC
31,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C
32,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
33,-1.64,ClC(=C)Cl
34,-5.22,Cc1cccc2c1Cc3ccccc32
36,-3.504,N(c1ccccc1)c2ccccc2
37,-3.927,CN(C)C(=O)SCCCCOc1ccccc1
38,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
40,-4.88,c1c(Cl)cccc1c2ccccc2
41,-0.15,OCCCC=C
42,-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2
43,-2.53,CC(C)C1CCC(C)CC1O 
44,-0.63,CC(C)OC=O
45,-1.55,CCCCCC(C)O
46,-3.083,CC(=O)Nc1ccc(Br)cc1
47,-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O)
48,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C 
49,-1.94,c2c(C)cc1nc(C)ccc1c2 
50,-3.66,CCCCCCC#C
51,-2.17,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 
52,-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23
53,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O 
54,-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
55,-0.62,Cc1ccccc1O
56,-5.05,CC(C)CCC(C)(C)C
57,-4.14,Cc1ccc(C)c2ccccc12
58,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14
59,-0.19,CCCC(=O)C
60,-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
61,-0.82,CCCOC(=O)CC
62,-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO
